time_s,p_hull_kg_m_s,p_photon_kg_m_s,p_total_kg_m_s
1.59e-07,-1.037181047763335e-08,1.0371810477633848e-08,4.979627287569227e-22
1.6e-07,-5.383344428564161e-09,5.383344428564662e-09,5.012714512071348e-22
1.61e-07,-3.94878379494974e-10,3.948783794954769e-10,5.029258124322408e-22
1.6200000000000002e-07,4.593587669574213e-09,-4.5935876695737086e-09,5.045801736573469e-22
1.6300000000000002e-07,-3.898899134459021e-10,3.898899134464075e-10,5.054073542698999e-22
1.64e-07,-5.373367496466021e-09,5.3733674964665235e-09,5.029258124322408e-22
1.65e-07,-1.0356845079486139e-08,1.0356845079486639e-08,4.996170899820287e-22
1.66e-07,-1.5340322662506258e-08,1.5340322662506754e-08,4.963083675318166e-22
1.67e-07,-2.0323800245526376e-08,2.0323800245526873e-08,4.963083675318166e-22
1.6800000000000002e-07,-2.5307277828546495e-08,2.5307277828546988e-08,4.929996450816045e-22
1.6900000000000002e-07,-3.0290755411566607e-08,3.02907554115671e-08,4.963083675318166e-22
1.7000000000000001e-07,-3.5274232994586725e-08,3.527423299458722e-08,4.963083675318166e-22
1.71e-07,-4.0257710577606844e-08,4.0257710577607333e-08,4.896909226313924e-22
1.72e-07,-4.524118816062696e-08,4.524118816062745e-08,4.896909226313924e-22
1.73e-07,-5.022466574364709e-08,5.022466574364757e-08,4.830734777309682e-22
1.7400000000000002e-07,-5.5208143326667206e-08,5.520814332666768e-08,4.764560328305439e-22
1.7500000000000002e-07,-6.019162090968731e-08,6.01916209096878e-08,4.896909226313924e-22
1.7600000000000001e-07,-6.517509849270742e-08,6.517509849270792e-08,5.029258124322408e-22
1.77e-07,-7.015857607572752e-08,7.015857607572804e-08,5.161607022330893e-22
1.78e-07,-7.514205365874763e-08,7.514205365874814e-08,5.161607022330893e-22
1.79e-07,-8.012553124176773e-08,8.012553124176826e-08,5.293955920339377e-22
1.8000000000000002e-07,-8.510900882478784e-08,8.510900882478838e-08,5.426304818347862e-22
1.8100000000000002e-07,-9.009248640780794e-08,9.00924864078085e-08,5.558653716356346e-22
1.8200000000000002e-07,-9.507596399082805e-08,9.507596399082862e-08,5.69100261436483e-22
1.83e-07,-1.0005944157384815e-07,1.0005944157384872e-07,5.69100261436483e-22
1.84e-07,-1.0504291915686826e-07,1.0504291915686884e-07,5.823351512373315e-22
1.85e-07,-1.1002639673988838e-07,1.1002639673988896e-07,5.823351512373315e-22
1.8600000000000002e-07,-1.1500987432290848e-07,1.1500987432290908e-07,5.955700410381799e-22
1.8700000000000002e-07,-1.199933519059286e-07,1.199933519059292e-07,6.088049308390284e-22
1.8800000000000002e-07,-1.249768294889487e-07,1.249768294889493e-07,6.088049308390284e-22
1.89e-07,-1.299603070719688e-07,1.2996030707196943e-07,6.352747104407253e-22
1.9e-07,-1.349437846549889e-07,1.3494378465498954e-07,6.352747104407253e-22
1.91e-07,-1.39927262238009e-07,1.3992726223800964e-07,6.352747104407253e-22
1.9200000000000003e-07,-1.4491073982102911e-07,1.4491073982102978e-07,6.617444900424221e-22
1.9300000000000002e-07,-1.4989421740404922e-07,1.4989421740404988e-07,6.617444900424221e-22
1.9400000000000002e-07,-1.5487769498706933e-07,1.5487769498707e-07,6.88214269644119e-22
1.95e-07,-1.5986117257008943e-07,1.5986117257009012e-07,6.88214269644119e-22
1.96e-07,-1.6484465015310954e-07,1.6484465015311022e-07,6.88214269644119e-22
1.97e-07,-1.6982812773612964e-07,1.6982812773613036e-07,7.146840492458159e-22
1.98e-07,-1.7481160531914975e-07,1.7481160531915046e-07,7.146840492458159e-22
1.9900000000000002e-07,-1.7979508290216985e-07,1.797950829021706e-07,7.411538288475128e-22
2.0000000000000002e-07,-1.8477856048518996e-07,1.847785604851907e-07,7.411538288475128e-22
2.01e-07,-1.8976203806821006e-07,1.8976203806821083e-07,7.676236084492097e-22
2.02e-07,-1.9474551565123017e-07,1.9474551565123093e-07,7.676236084492097e-22
2.03e-07,-1.9972899323425027e-07,1.9972899323425104e-07,7.676236084492097e-22
2.04e-07,-1.9475049912881317e-07,1.9475049912881394e-07,7.676236084492097e-22
2.0500000000000002e-07,-1.8977200502337608e-07,1.8977200502337687e-07,7.940933880509066e-22
2.0600000000000002e-07,-1.8479351091793898e-07,1.8479351091793977e-07,7.940933880509066e-22
2.0700000000000001e-07,-1.7981501681250188e-07,1.7981501681250267e-07,7.940933880509066e-22
2.08e-07,-1.7483652270706478e-07,1.7483652270706558e-07,7.940933880509066e-22
2.09e-07,-1.6985802860162768e-07,1.6985802860162848e-07,7.940933880509066e-22
2.1e-07,-1.6487953449619059e-07,1.6487953449619138e-07,7.940933880509066e-22
2.1100000000000002e-07,-1.599010403907535e-07,1.5990104039075428e-07,7.940933880509066e-22
2.1200000000000002e-07,-1.549225462853164e-07,1.5492254628531718e-07,7.940933880509066e-22
2.1300000000000001e-07,-1.499440521798793e-07,1.4994405217988008e-07,7.940933880509066e-22
2.14e-07,-1.449655580744422e-07,1.4496555807444299e-07,7.940933880509066e-22
2.15e-07,-1.399870639690051e-07,1.399870639690059e-07,7.940933880509066e-22
2.16e-07,-1.35008569863568e-07,1.3500856986356882e-07,8.205631676526035e-22
2.1700000000000002e-07,-1.300300757581309e-07,1.3003007575813172e-07,8.205631676526035e-22
2.1800000000000002e-07,-1.250515816526938e-07,1.2505158165269462e-07,8.205631676526035e-22
2.1900000000000002e-07,-1.200730875472567e-07,1.2007308754725752e-07,8.205631676526035e-22
2.2e-07,-1.150945934418196e-07,1.1509459344182042e-07,8.205631676526035e-22
2.21e-07,-1.101160993363825e-07,1.1011609933638333e-07,8.205631676526035e-22
2.22e-07,-1.051376052309454e-07,1.0513760523094623e-07,8.337980574534519e-22
2.2300000000000002e-07,-1.001591111255083e-07,1.0015911112550913e-07,8.337980574534519e-22
2.2400000000000002e-07,-9.51806170200712e-08,9.518061702007204e-08,8.470329472543003e-22
2.2500000000000002e-07,-9.02021229146341e-08,9.020212291463495e-08,8.470329472543003e-22
2.26e-07,-8.5223628809197e-08,8.522362880919785e-08,8.470329472543003e-22
2.27e-07,-8.02451347037599e-08,8.024513470376075e-08,8.470329472543003e-22
2.28e-07,-7.52666405983228e-08,7.526664059832365e-08,8.470329472543003e-22
2.2900000000000003e-07,-7.02881464928857e-08,7.028814649288657e-08,8.602678370551488e-22
2.3000000000000002e-07,-6.530965238744861e-08,6.530965238744947e-08,8.602678370551488e-22
2.3100000000000002e-07,-6.033115828201151e-08,6.033115828201237e-08,8.602678370551488e-22
2.32e-07,-5.535266417657441e-08,5.535266417657527e-08,8.602678370551488e-22
