Time_s,ChassisPosition_m,ChassisVelocity_ms,ChassisMomentum_kgms,PacketPosition_m,PacketEnergy_J,SystemCenterOfMass_m,LorentzGamma,ThermalLoss_J,TotalEnergy_J
1.1743000000000762e-06,-1.1269709973301519e-05,246.71842128535758,246718.42128544115,8.381109457089996,73964321951041.92,-4.372354428041583e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1744000000000762e-06,-1.1245038131172983e-05,246.71842128535758,246718.42128544115,8.351130235961838,73964321951041.92,-4.372354407737562e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1745000000000762e-06,-1.1220366289044447e-05,246.71842128535758,246718.42128544115,8.32115101483368,73964321951041.92,-4.37235438743354e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1746000000000762e-06,-1.1195694446915912e-05,246.71842128535758,246718.42128544115,8.291171793705521,73964321951041.92,-4.3723543671295164e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1747000000000762e-06,-1.1171022604787376e-05,246.71842128535758,246718.42128544115,8.261192572577363,73964321951041.92,-4.372354346825494e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1748000000000762e-06,-1.114635076265884e-05,246.71842128535758,246718.42128544115,8.231213351449204,73964321951041.92,-4.372354326521472e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1749000000000762e-06,-1.1121678920530305e-05,246.71842128535758,246718.42128544115,8.201234130321046,73964321951041.92,-4.37235430621745e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1750000000000762e-06,-1.109700707840177e-05,246.71842128535758,246718.42128544115,8.171254909192887,73964321951041.92,-4.3723542859134276e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1751000000000762e-06,-1.1072335236273234e-05,246.71842128535758,246718.42128544115,8.141275688064729,73964321951041.92,-4.372354265609404e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1752000000000762e-06,-1.1047663394144698e-05,246.71842128535758,246718.42128544115,8.11129646693657,73964321951041.92,-4.372354245305382e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1753000000000762e-06,-1.1022991552016162e-05,246.71842128535758,246718.42128544115,8.081317245808412,73964321951041.92,-4.372354225001361e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1754000000000762e-06,-1.0998319709887627e-05,246.71842128535758,246718.42128544115,8.051338024680254,73964321951041.92,-4.372354204697338e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1755000000000762e-06,-1.0973647867759091e-05,246.71842128535758,246718.42128544115,8.021358803552095,73964321951041.92,-4.372354184393316e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1756000000000763e-06,-1.0948976025630555e-05,246.71842128535758,246718.42128544115,7.991379582423938,73964321951041.92,-4.372354164089292e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.1757000000000763e-06,-1.092430418350202e-05,246.71842128535758,246718.42128544115,7.96140036129578,73964321951041.92,-4.372354143785271e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
